Confound,TP,Model,Accuracy Baseline-CB,Accuracy CB,Accuracy Diff CB - BL
BIS & PSS & NEO Extro,FU3,Kernel SVM,0.6929384352417026,0.5646196704813825,-0.1283187647603201
combined BIS & NEO Consc & NEO Extro,FU3,Linear Regression,0.6238911744031395,0.6045494657206577,-0.0193417086824817
combined BIS & NEO Consc & NEO Extro,FU3,Linear SVM,0.6543363102612988,0.62162952670891,-0.0327067835523887
combined BIS & NEO Consc & NEO Extro,FU3,Gradient Boosting,0.6780094617761439,0.666562343546927,-0.0114471182292168
combined BIS & NEO Consc & NEO Extro,FU3,Kernel SVM,0.6929384352417026,0.6716115741138751,-0.0213268611278275
combined BIS & PSS & NEO Extro,FU3,Linear Regression,0.6238911744031395,0.5967048138240039,-0.0271863605791355
combined BIS & PSS & NEO Extro,FU3,Linear SVM,0.6543363102612988,0.598824863585563,-0.0555114466757358
combined BIS & PSS & NEO Extro,FU3,Gradient Boosting,0.6780094617761439,0.6503669535710493,-0.0276425082050945
combined BIS & PSS & NEO Extro,FU3,Kernel SVM,0.6929384352417026,0.678441272257425,-0.0144971629842776
ANXDX_Total,FU2,Linear Regression,0.6504929602503022,0.6308205930455806,-0.019672367204721652
ANXDX_Total,FU2,Linear SVM,0.6748396501457725,0.650144172651639,-0.024695477494133478
ANXDX_Total,FU2,Gradient Boosting,0.7136526701272843,0.7068514897248097,-0.0068011804024745715
ANXDX_Total,FU2,Kernel SVM,0.7379595392163835,0.7233310815615445,-0.014628457654839
